T26,Population employed in research and development (R&D),,,,,
192,Cuba,2005,R & D personnel: Researchers - women (number in full-time equivalent),"2,703",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"28,462",Head count instead of Full-time equivalent.;Including technicians and equivalent staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2010,R & D personnel: Total (number in full-time equivalent),"16,641",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2010,R & D personnel: Researchers - total (number in full-time equivalent),"4,872",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2010,R & D personnel: Researchers - women (number in full-time equivalent),"2,381",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"11,769",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2014,R & D personnel: Total (number in full-time equivalent),"14,418",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2014,R & D personnel: Researchers - total (number in full-time equivalent),"4,355",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2014,R & D personnel: Researchers - women (number in full-time equivalent),"2,098",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),"10,063",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2015,R & D personnel: Total (number in full-time equivalent),"23,552",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2015,R & D personnel: Researchers - total (number in full-time equivalent),"3,853",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
192,Cuba,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"19,699",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2005,R & D personnel: Total (number in full-time equivalent),"1,157",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2005,R & D personnel: Researchers - total (number in full-time equivalent),682,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2005,R & D personnel: Researchers - women (number in full-time equivalent),239,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2005,R & D personnel: Technicians - total (number in full-time equivalent),273,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2005,R & D personnel: Technicians - women (number in full-time equivalent),98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),201,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),105,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2010,R & D personnel: Total (number in full-time equivalent),"1,302",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2010,R & D personnel: Researchers - total (number in full-time equivalent),905,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2010,R & D personnel: Researchers - women (number in full-time equivalent),337,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2010,R & D personnel: Technicians - total (number in full-time equivalent),216,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2010,R & D personnel: Technicians - women (number in full-time equivalent),89,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),181,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),101,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2014,R & D personnel: Total (number in full-time equivalent),"1,269",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2014,R & D personnel: Researchers - total (number in full-time equivalent),888,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2014,R & D personnel: Researchers - women (number in full-time equivalent),343,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2014,R & D personnel: Technicians - total (number in full-time equivalent),224,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2014,R & D personnel: Technicians - women (number in full-time equivalent),99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),158,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),89,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2015,R & D personnel: Total (number in full-time equivalent),"1,245",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
196,Cyprus,2015,R & D personnel: Researchers - total (number in full-time equivalent),860,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2005,R & D personnel: Total (number in full-time equivalent),"43,370",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"24,169",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"6,349",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2005,R & D personnel: Technicians - total (number in full-time equivalent),"13,773",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2005,R & D personnel: Technicians - women (number in full-time equivalent),"5,153",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,429",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,633",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2010,R & D personnel: Total (number in full-time equivalent),"52,290",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"29,228",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"7,429",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2010,R & D personnel: Technicians - total (number in full-time equivalent),"15,971",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2010,R & D personnel: Technicians - women (number in full-time equivalent),"5,141",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,092",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,369",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2014,R & D personnel: Total (number in full-time equivalent),"64,444",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2014,R & D personnel: Researchers - total (number in full-time equivalent),"36,040",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2014,R & D personnel: Researchers - women (number in full-time equivalent),"8,701",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2014,R & D personnel: Technicians - total (number in full-time equivalent),"19,846",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2014,R & D personnel: Technicians - women (number in full-time equivalent),"6,065",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),"8,558",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),"4,154",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2015,R & D personnel: Total (number in full-time equivalent),"66,433",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"38,081",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2015,R & D personnel: Technicians - total (number in full-time equivalent),"19,350",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
203,Czechia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"9,002",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
180,Dem. Rep. of the Congo,2005,R & D personnel: Total (number in full-time equivalent),"33,478",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
180,Dem. Rep. of the Congo,2005,R & D personnel: Researchers - total (number in full-time equivalent),"10,411",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
180,Dem. Rep. of the Congo,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,510",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
180,Dem. Rep. of the Congo,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"21,557",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
180,Dem. Rep. of the Congo,2009,R & D personnel: Total (number in full-time equivalent),"34,820",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
180,Dem. Rep. of the Congo,2009,R & D personnel: Researchers - total (number in full-time equivalent),"12,470",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
180,Dem. Rep. of the Congo,2009,R & D personnel: Technicians - total (number in full-time equivalent),"1,843",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
180,Dem. Rep. of the Congo,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),"20,507",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2005,R & D personnel: Total (number in full-time equivalent),"43,499",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2005,R & D personnel: Researchers - total (number in full-time equivalent),"28,179",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2005,R & D personnel: Researchers - women (number in full-time equivalent),"8,113",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2005,R & D personnel: Technicians - total (number in full-time equivalent),"10,781",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2005,R & D personnel: Technicians - women (number in full-time equivalent),"5,364",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"4,538",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,534",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2010,R & D personnel: Total (number in full-time equivalent),"56,623",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2010,R & D personnel: Researchers - total (number in full-time equivalent),"37,435",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2010,R & D personnel: Researchers - women (number in full-time equivalent),"11,654",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2010,R & D personnel: Technicians - total (number in full-time equivalent),"12,557",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2010,R & D personnel: Technicians - women (number in full-time equivalent),"4,959",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"6,631",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,433",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2011,R & D personnel: Total (number in full-time equivalent),"57,585",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2011,R & D personnel: Researchers - total (number in full-time equivalent),"39,181",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2011,R & D personnel: Researchers - women (number in full-time equivalent),"12,376",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2011,R & D personnel: Technicians - total (number in full-time equivalent),"11,856",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2011,R & D personnel: Technicians - women (number in full-time equivalent),"4,694",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),"6,548",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,112",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2013,R & D personnel: Total (number in full-time equivalent),"57,744",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2013,R & D personnel: Researchers - total (number in full-time equivalent),"39,868",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2013,R & D personnel: Researchers - women (number in full-time equivalent),"13,544",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2015,R & D personnel: Total (number in full-time equivalent),"59,532",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
208,Denmark,2015,R & D personnel: Researchers - total (number in full-time equivalent),"42,425",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2003,R & D personnel: Researchers - total (number in full-time equivalent),645,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2010,R & D personnel: Total (number in full-time equivalent),"4,769",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2010,R & D personnel: Researchers - total (number in full-time equivalent),"2,110",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2010,R & D personnel: Researchers - women (number in full-time equivalent),854,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,029",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2010,R & D personnel: Technicians - women (number in full-time equivalent),300,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,630",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),783,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2014,R & D personnel: Total (number in full-time equivalent),"8,948",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2014,R & D personnel: Researchers - total (number in full-time equivalent),"6,373",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2014,R & D personnel: Researchers - women (number in full-time equivalent),"2,630",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2014,R & D personnel: Technicians - total (number in full-time equivalent),"1,435",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2014,R & D personnel: Technicians - women (number in full-time equivalent),714,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,140",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
218,Ecuador,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),649,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2010,R & D personnel: Total (number in full-time equivalent),"86,455",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2010,R & D personnel: Researchers - total (number in full-time equivalent),"40,752",Partial data.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2010,R & D personnel: Researchers - women (number in full-time equivalent),"16,972",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2010,R & D personnel: Technicians - total (number in full-time equivalent),"20,758",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"24,945",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2015,R & D personnel: Total (number in full-time equivalent),"112,752",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2015,R & D personnel: Researchers - total (number in full-time equivalent),"62,208",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2015,R & D personnel: Researchers - women (number in full-time equivalent),"26,477",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2015,R & D personnel: Technicians - total (number in full-time equivalent),"31,795",Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
818,Egypt,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"18,748",Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
222,El Salvador,2005,R & D personnel: Researchers - total (number in full-time equivalent),260,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
222,El Salvador,2005,R & D personnel: Researchers - women (number in full-time equivalent),81,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
222,El Salvador,2010,R & D personnel: Researchers - total (number in full-time equivalent),516,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
222,El Salvador,2010,R & D personnel: Researchers - women (number in full-time equivalent),190,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
